bar_id,x1,y1,x2,y2,length,dlen,N
0,0.0,0.0,1.0,2.0,2.23606797749979,29.58192385765889,-67.08203932499364
1,0.0,0.0,2.0,2.0,2.8284271247461903,35.89343139803763,42.42640687119283
2,1.0,2.0,2.0,2.0,1.0,9.893957054589869,29.99999999999999
3,1.0,2.0,3.0,4.0,2.8284271247461903,20.14389155283296,-84.85281374238568
4,2.0,2.0,3.0,4.0,2.23606797749979,13.845426097075752,-2.220446049250313e-15
5,2.0,2.0,6.0,4.0,4.47213595499958,23.7280109805783,67.0820393249937
6,3.0,4.0,6.0,4.0,3.0,13.261295718022367,19.999999999999982
7,3.0,4.0,7.0,6.0,4.47213595499958,12.143435048549765,-89.44271909999158
8,6.0,4.0,7.0,6.0,2.23606797749979,2.183789952193421,33.54101966249684
9,6.0,4.0,9.0,4.0,3.0,2.371766550619996,64.99999999999997
10,7.0,6.0,9.0,4.0,2.8284271247461903,0.5449984339404117,-1.1102230246251565e-16
11,7.0,6.0,11.0,6.0,4.0,-2.6000000000000014,-64.99999999999997
12,9.0,4.0,11.0,6.0,2.8284271247461903,0.5449984339404161,1.1102230246251565e-16
13,9.0,4.0,12.0,4.0,3.0,2.3717665506199976,64.99999999999997
14,11.0,6.0,12.0,4.0,2.23606797749979,2.183789952193388,33.54101966249685
15,11.0,6.0,15.0,4.0,4.47213595499958,12.143435048549787,-89.44271909999159
16,12.0,4.0,15.0,4.0,3.0,13.261295718022385,19.999999999999993
17,12.0,4.0,16.0,2.0,4.47213595499958,23.7280109805783,67.0820393249937
18,15.0,4.0,16.0,2.0,2.23606797749979,13.845426097075745,-3.3306690738754696e-15
19,15.0,4.0,17.0,2.0,2.8284271247461903,20.143891552832933,-84.85281374238569
20,16.0,2.0,17.0,2.0,1.0,9.893957054589848,29.999999999999993
21,16.0,2.0,18.0,0.0,2.8284271247461903,35.893431398037634,42.42640687119283
22,17.0,2.0,18.0,0.0,2.23606797749979,29.5819238576589,-67.08203932499367
